"Z30_REC_KEY","Z30_BARCODE","Z30_SUB_LIBRARY","Z30_MATERIAL","Z30_ITEM_STATUS","Z30_OPEN_DATE","Z30_UPDATE_DATE","Z30_CATALOGER","Z30_DATE_LAST_RETURN","Z30_HOUR_LAST_RETURN","Z30_IP_LAST_RETURN","Z30_NO_LOANS","Z30_ALPHA","Z30_COLLECTION","Z30_CALL_NO_TYPE","Z30_CALL_NO","Z30_CALL_NO_KEY","Z30_CALL_NO_2_TYPE","Z30_CALL_NO_2","Z30_CALL_NO_2_KEY","Z30_DESCRIPTION","Z30_NOTE_OPAC","Z30_NOTE_CIRCULATION","Z30_NOTE_INTERNAL","Z30_ORDER_NUMBER","Z30_INVENTORY_NUMBER","Z30_INVENTORY_NUMBER_DATE","Z30_LAST_SHELF_REPORT_DATE","Z30_PRICE","Z30_SHELF_REPORT_NUMBER","Z30_ON_SHELF_DATE","Z30_ON_SHELF_SEQ","Z30_REC_KEY_2","Z30_REC_KEY_3","Z30_PAGES","Z30_ISSUE_DATE","Z30_EXPECTED_ARRIVAL_DATE","Z30_ARRIVAL_DATE","Z30_ITEM_STATISTIC","Z30_ITEM_PROCESS_STATUS","Z30_COPY_ID","Z30_HOL_DOC_NUMBER_X","Z30_TEMP_LOCATION","Z30_ENUMERATION_A","Z30_ENUMERATION_B","Z30_ENUMERATION_C","Z30_ENUMERATION_D","Z30_ENUMERATION_E","Z30_ENUMERATION_F","Z30_ENUMERATION_G","Z30_ENUMERATION_H","Z30_CHRONOLOGICAL_I","Z30_CHRONOLOGICAL_J","Z30_CHRONOLOGICAL_K","Z30_CHRONOLOGICAL_L","Z30_CHRONOLOGICAL_M","Z30_SUPP_INDEX_O","Z30_85X_TYPE","Z30_DEPOSITORY_ID","Z30_LINKING_NUMBER","Z30_GAP_INDICATOR","Z30_MAINTENANCE_COUNT","Z30_PROCESS_STATUS_DATE"
"002927182000010","2927182-10                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","355 C761","1 355 c761                                                                      ","","","                                                                                ","","","","","","M4434",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"001254271000040","1254271-40                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","327.2 D179d e.2","1 327 2 d179!d e 2                                                              ","","","                                                                                ","e.2","","","","","M4435",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"001425153000050","1425153-50                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","981 N469c e.2","1 981 n469!c e 2                                                                ","","","                                                                                ","e.2","","","","","M4437",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927302000010","2927302-10                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","940 T482e","1 940 t482!e                                                                    ","","","                                                                                ","","","","","","M4436",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927222000010","2927222-10                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","943.086 F418f","1 943 086 f418!f                                                                ","","","                                                                                ","","","","","","M4440",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927288000010","2927288-10                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","327.81 V829r 2.ed.","1 327 81 v829!r 2 ed                                                            ","","","                                                                                ","","","","","","M4438",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"001266543000060","1266543-60                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","327 E82b e.3","1 327 e82!b e 3                                                                 ","","","                                                                                ","e.3","","","","","M4439",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00003","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"000591229000040","591229-40                     ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","327.81 M929s","1 327 81 m929!s                                                                 ","","","                                                                                ","","","","","","M4441",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"001292508000020","1292508-20                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","944.04 F983r","1 944 04 f983!r                                                                 ","","","                                                                                ","","","","","","M4442",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"001361243000050","1361243-50                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","981.061 S462b 3.ed. e.2","1 981 061 s462!b 3 ed e 2                                                       ","","","                                                                                ","3.ed. e.2","","","","","M4443",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
